api_context,name,method,path,summary,description,tags,roles,path_parameters,request_body,response_body,error_codes,route_pattern,source_file
v1_4_0,addCustomerMessage,POST,/banks/BANK_ID/customer/CUSTOMER_ID/messages,Create Customer Message,"Returns information about branches for a single bank specified by BANK_ID including: * Name * Address * Geo Location * License the data under this endpoint is released under ${urlParametersDocument(false, false)} You can use the url query parameters *limit* and *offset* for pagination ${userAuthenticationMessage(!getBranchesIsPublic)}",Person; Message; Customer,,BANK_ID; CUSTOMER_ID,,,UnknownError,"""banks"" :: BankId(bankId) :: ""customer"" :: customerId ::  ""messages"" :: Nil",APIMethods140.scala
v1_4_0,testResourceDoc,GET,/dummy,I am only a test resource Doc, #This should be H1 ##This should be H2 ###This should be H3 ####This should be H4 Here is a list with two items: * One * Two There are underscores by them selves _ There are _underscores_ around a word There are underscores_in_words There are 'underscores_in_words_inside_quotes' There are (underscores_in_words_in_brackets) _etc_...,OldStyle; Documentation,,,apiInfoJSON,,UnknownError,"case ""dummy"" :: Nil JsonGet",APIMethods140.scala
v2_2_0,root,GET,/root,Get API Info (root),Returns information about: * API version * Hosted by information * Git Commit,,,,apiInfoJSON,,,N/A,APIMethods220.scala
v2_2_0,getViewsForBankAccount,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/views,Get Views for Account,"#Views Views in Open Bank Project provide a mechanism for fine grained access control and delegation to Accounts and Transactions. Account holders use the 'owner' view by default. Delegated access is made through other views for example 'accountants', 'share-holders' or 'tagging-application'. Views can be created via the API and each view has a list of entitlements. Views on accounts and transactions filter the underlying data to redact certain fields for certain users. For instance the balance ",,,BANK_ID; ACCOUNT_ID,,,,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""views"" :: Nil",APIMethods220.scala
v2_2_0,createViewForBankAccount,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/views,Create View,#Create a view on bank account ${userAuthenticationMessage(true)} and the user needs to have access to the owner view. The 'alias' field in the JSON can take one of three values: * _public_: to use the public alias if there is one specified for the other account. * _private_: to use the private alias if there is one specified for the other account. * _''(empty string)_: to use no alias; the view shows the real name of the other account. The 'hide_metadata_if_alias_used' field in the JSON can tak,OldStyle; Account; View,,BANK_ID; ACCOUNT_ID,viewJSONV220,viewJSONV220,BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""views"" :: Nil",APIMethods220.scala
v2_2_0,updateViewForBankAccount,PUT,/banks/BANK_ID/accounts/ACCOUNT_ID/views/VIEW_ID,Update View,"Update an existing view on a bank account ${userAuthenticationMessage(true)} and the user needs to have access to the owner view. The json sent is the same as during view creation (above), with one difference: the 'name' field of a view is not editable (it is only set when a view is created)",OldStyle; Account; View,,BANK_ID; ACCOUNT_ID; VIEW_ID,viewJSONV220,viewJSONV220,BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""views"" :: ViewId(viewId) :: Nil",APIMethods220.scala
v2_2_0,getCurrentFxRate,GET,/banks/BANK_ID/fx/FROM_CURRENCY_CODE/TO_CURRENCY_CODE,Get Current FxRate,"Get the latest FX rate specified by BANK_ID, FROM_CURRENCY_CODE and TO_CURRENCY_CODE OBP may try different sources of FX rate information depending on the Connector in operation. For example we want to convert EUR => USD: OBP will: 1st try - Connector (database, core banking system or external FX service) 2nd try part 1 - fallbackexchangerates/eur.json 2nd try part 2 - fallbackexchangerates/usd.json (the inverse rate is used) 3rd try - Hardcoded map of FX rates. ![FX Flow](https://user-images.gi",Fx,,BANK_ID; FROM_CURRENCY_CODE; TO_CURRENCY_CODE,fXRateJSON,,UnknownError,"""banks"" :: BankId(bankId) :: ""fx"" :: fromCurrencyCode :: toCurrencyCode :: Nil",APIMethods220.scala
v2_2_0,getExplicitCounterpartiesForAccount,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/counterparties,Get Counterparties (Explicit),"This endpoints gets the explicit Counterparties on an Account / View. For a general introduction to Counterparties in OBP, see ${Glossary.getGlossaryItemLink(""Counterparties"")} ${userAuthenticationMessage(true)} ",Psd2; Account; Counterparty; PSD2PIS,,BANK_ID; ACCOUNT_ID; VIEW_ID,,,BankAccountNotFound; ViewNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""counterparties"" :: Nil",APIMethods220.scala
v2_2_0,getExplicitCounterpartyById,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/counterparties/COUNTERPARTY_ID,Get Counterparty by Counterparty Id (Explicit),Information returned about the Counterparty specified by COUNTERPARTY_ID: ${userAuthenticationMessage(true)} ,Psd2; CounterpartyMetaData; Counterparty; PSD2PIS,,BANK_ID; COUNTERPARTY_ID; ACCOUNT_ID; VIEW_ID,createCounterpartyWithMetadataJSON,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""counterparties"" :: CounterpartyId(counterpartyId) :: Nil",APIMethods220.scala
v2_2_0,getMessageDocs,GET,/message-docs/CONNECTOR,Get Message Docs,"These message docs provide example messages sent by OBP to the (RabbitMq) message queue for processing by the Core Banking / Payment system Adapter - together with an example expected response and possible error codes. Integrators can use these messages to build Adapters that provide core banking services to OBP. Note: API Explorer provides a Message Docs page where these messages are displayed. `CONNECTOR`: rest_vMar2019, stored_procedure_vDec2019 ...",Api; Documentation,,CONNECTOR,bankJSONV220,bankJSONV220,UnknownError,"""message-docs"" :: connector :: Nil",APIMethods220.scala
